The Algonquin, St. Andrews, New Brunswick
Dalvay-by-the-Sea, Prince Edward Island
Digby Pines Resort, Digby, Nova Scotia
Hotel Beauséjour, Moncton
Hotel Charlottetown, Charlottetown
Hotel Newfoundland, St. John's
Lord Nelson Hotel, Halifax
The Westin Nova Scotian, Halifax
Auberge Le Saint-Gabriel, Montreal
Chateau Aeroport-Mirabel, Mirabel
Château Champlain, Montreal
Château Frontenac, Quebec City
Château Montebello, Montebello
Clarendon Hotel, Quebec City
Hovey Manor, North Hatley
Ice Hotel, Quebec City
Laurentian Hotel, Montreal
Le Centre Sheraton Montreal Hotel, Montreal
Les Cours Mont-Royal, Montreal
Ottawa Hotel, Montreal, Montreal
Place Viger, Montreal
Queen Elizabeth Hotel, Montreal
Ritz-Carlton Montreal, Montreal
Windsor Hotel, Montreal
Château Laurier, Ottawa
Chelsea Hotel, Toronto
Drake Hotel, Toronto
Duke of York Inn, Toronto
Fairmont Royal York, Toronto
Ford Hotel, Toronto
Four Seasons Hotel Toronto, Toronto
Gladstone Hotel, Toronto
Guild Inn, Toronto
Hotel Waverly, Toronto
Inn on the Park, Toronto
InterContinental Toronto Centre, Toronto
John Finch's Hotel, Toronto
King Edward Hotel, Toronto
Lord Elgin Hotel, Ottawa
Lord Simcoe Hotel, Toronto
Marriott Niagara Falls Hotel Fallsview & Spa, Niagara Falls
Marriott on the Falls Hotel, Niagara Falls
Miller Tavern, Toronto
New Broadview House Hotel, Toronto
New Edwin Hotel, Toronto
Old Mill Inn & Spa, Toronto
Ottawa Marriott Hotel, Ottawa
Park Hyatt Toronto, Toronto
Regal Constellation Hotel, Toronto
Rossin House Hotel, Toronto
Russell House, Ottawa
Sheraton Centre Toronto Hotel, Toronto
Sheraton on the Falls, Niagara Falls
Spadina Hotel, Toronto
Westin Harbour Castle Hotel, Toronto
Windsor Arms Hotel, Toronto
Banff Springs Hotel, Banff
Chateau Lacombe Hotel, Edmonton
Chateau Lake Louise, Lake Louise
Chateau Qu'Appelle, Regina, Saskatchewan
Coast Edmonton House, Edmonton
Delta Bessborough, Saskatoon
Fairmont Palliser Hotel, Calgary
Fort Garry Hotel, Winnipeg
Hotel Macdonald, Edmonton
Hotel Saskatchewan
Hotel Senator, Saskatoon
Jasper Park Lodge, Jasper
Prince of Wales Hotel, Waterton Lakes National Park
Radisson Hotel Saskatoon, Saskatoon
The Rimrock Resort Hotel, Banff
Temple Gardens Mineral Spa Resort, Moose Jaw
Transit Hotel, Edmonton
Empire Landmark Hotel, Vancouver
The Empress, Victoria, British Columbia
Fairmont Pacific Rim, Vancouver
Hotel Europe, Vancouver
Hotel Georgia, Vancouver
Hotel Vancouver, Vancouver
Hyatt Regency Vancouver
The Listel Hotel, Vancouver
Living Shangri-La, Vancouver
The Melville, Vancouver
Sheraton Wall Centre, Vancouver
Sylvia Hotel, Vancouver
Explorer Hotel, Yellowknife
The Gold Range, Yellowknife
