Astor House Hotel, Shanghai
Beijing Hotel, Beijing
Broadway Mansions, Shanghai
Centre Hotel (Nanjing), Nanjing
China Hotel, Guangzhou
Diaoyutai State Guesthouse, Beijing
East Asia Hotel, Shanghai
Fairmont Beijing, Beijing
The Garden Hotel, Guangzhou, Guangzhou
Grand Hyatt Beijing, Beijing
Grand Hyatt Shanghai, Shanghai
Hotel Landmark Canton, Guangzhou
Jin Jiang Tower, Shanghai
Jin Mao Tower, Shanghai
Jinjiang Hotel, Shanghai
Jinling Hotel, Nanjing
JW Marriott Shanghai, Shanghai
Lhasa Hotel, Lhasa
Lusongyuan Hotel, Beijing
Minzu Hotel, Beijing
Morgan Plaza, Beijing
Nanning Marriott, Nanning
Park Hotel Shanghai, Shanghai
Peace Hotel, Shanghai
The PuLi Hotel and Spa, Shanghai
Shimao Wonderland Intercontinental, Songjiang
St. Regis Shanghai Hotel, Shanghai
URBN hotels Shanghai, Shanghai
White Swan Hotel, Guangzhou
