Ashok Hotel, Delhi
Hyatt Regency Delhi
Imperial Hotel, New Delhi
Maidens Hotel, Delhi
The Oberoi, Gurgaon
The Cecil, Shimla
Bissau Palace Hotel
Devigarh, Udaipur
Lake Palace, Udaipur
Lalgarh Palace, Bikaner
Laxmi Niwas Palace, Bikaner
LMB Hotel, Jaipur
Rambagh Palace, Jaipur
Laxmi Niwas Palace, Bikaner
Roopangarh Fort, Roopangarh
Samode Palace, Samode
Shiv Niwas Palace, Udaipur
Umaid Bhawan Palace, Jodhpur
Accord Metropolitan, Chennai
Bungalow on the Beach, Tharangambadi
Crowne Plaza Chennai Adyar Park, Chennai
Fisherman's Cove, Chennai
The Grand Chola, Chennai
Hilton, Chennai
Hotel d'Angeli's, Chennai
Hyatt Regency, Chennai
JW Marriott, Chennai
Kohinoor Asiana, Chennai
Le Royal Meridien, Chennai
The Leela Palace, Chennai
My Fortune, Chennai
The Park, Chennai
Park Hyatt, Chennai
Radisson Blu City Centre, Chennai
Radisson Blu Hotel, Chennai
The Raintree Hotel Anna Salai, Chennai
The Raintree Hotel, St Mary's Road, Chennai
Residency Towers, Chennai
Savera Hotel, Chennai
Taj Club House, Chennai
Taj Connemara, Chennai
Taj Coromandel, Chennai
Trident Hilton, Chennai
Westin, Chennai
The Elgin Hotel, Darjeeling
The Oberoi Grand, Kolkata
Great Eastern Hotel, Kolkata
Windamere Hotel, Darjeeling
